x;y;u
-1;-1;2.80079e-33
-1;-0.99;2.80874e-33
-1;-0.98;2.80937e-33
-1;-0.97;2.81098e-33
-1;-0.96;2.81155e-33
-1;-0.95;2.80311e-33
-1;-0.94;2.79635e-33
-1;-0.93;2.7988e-33
-1;-0.92;7.72948e-20
-1;-0.91;2.80417e-33
-1;-0.9;2.80778e-33
-1;-0.89;2.80778e-33
-1;-0.88;2.81148e-33
-1;-0.87;2.81398e-33
-1;-0.86;2.8103e-33
-1;-0.85;2.80618e-33
-1;-0.84;2.80441e-33
-1;-0.83;2.80152e-33
-1;-0.82;2.80378e-33
-1;-0.81;2.80358e-33
-1;-0.8;2.80428e-33
-1;-0.79;2.80553e-33
-1;-0.78;2.80734e-33
-1;-0.77;2.80359e-33
-1;-0.76;2.80359e-33
-1;-0.75;2.8041e-33
-1;-0.74;2.80575e-33
-1;-0.73;2.81203e-33
-1;-0.72;2.8096e-33
-1;-0.71;2.80445e-33
-1;-0.7;2.8045e-33
-1;-0.69;2.8052e-33
-1;-0.68;2.8061e-33
-1;-0.67;2.81243e-33
-1;-0.66;2.81243e-33
-1;-0.65;2.80859e-33
-1;-0.64;2.81133e-33
-1;-0.63;2.81097e-33
-1;-0.62;2.80647e-33
-1;-0.61;2.80426e-33
-1;-0.6;2.79554e-33
-1;-0.59;2.81258e-33
-1;-0.58;2.80681e-33
-1;-0.57;2.80681e-33
-1;-0.56;2.81051e-33
-1;-0.55;2.80732e-33
-1;-0.54;2.80732e-33
-1;-0.53;2.80156e-33
-1;-0.52;2.80651e-33
-1;-0.51;2.80591e-33
-1;-0.5;2.8057e-33
-1;-0.49;2.8057e-33
-1;-0.48;2.80219e-33
-1;-0.47;2.8057e-33
-1;-0.46;2.8094e-33
-1;-0.45;2.8087e-33
-1;-0.44;2.8087e-33
-1;-0.43;2.80725e-33
-1;-0.42;2.81059e-33
-1;-0.41;2.80477e-33
-1;-0.4;2.81376e-33
-1;-0.39;2.80838e-33
-1;-0.38;2.81356e-33
-1;-0.37;2.8115e-33
-1;-0.36;2.80397e-33
-1;-0.35;2.79185e-33
-1;-0.34;2.79185e-33
-1;-0.33;2.80206e-33
-1;-0.32;2.80518e-33
-1;-0.31;2.81092e-33
-1;-0.3;2.80872e-33
-1;-0.29;2.81053e-33
-1;-0.28;2.80894e-33
-1;-0.27;2.80029e-33
-1;-0.26;2.80384e-33
-1;-0.25;2.80216e-33
-1;-0.24;2.80226e-33
-1;-0.23;2.80756e-33
-1;-0.22;2.81259e-33
-1;-0.21;2.81144e-33
-1;-0.2;2.80994e-33
-1;-0.19;2.81156e-33
-1;-0.18;2.80449e-33
-1;-0.17;2.80307e-33
-1;-0.16;2.80335e-33
-1;-0.15;2.80337e-33
-1;-0.14;2.80147e-33
-1;-0.13;1.55097e-19
-1;-0.12;2.81005e-33
-1;-0.11;2.80668e-33
-1;-0.1;2.80461e-33
-1;-0.09;2.80267e-33
-1;-0.08;2.80317e-33
-1;-0.07;2.80413e-33
-1;-0.06;2.8044e-33
-1;-0.05;2.80343e-33
-1;-0.04;7.7572e-20
-1;-0.03;1.55144e-19
-1;-0.02;2.80472e-33
-1;-0.01;2.80553e-33
-1;0;-4.29861e-18
-1;0.01;2.80738e-33
-1;0.02;-1.54713e-19
-1;0.03;2.80515e-33
-1;0.04;2.8069e-33
-1;0.05;2.80831e-33
-1;0.06;2.80753e-33
-1;0.07;2.80843e-33
-1;0.08;2.80596e-33
-1;0.09;2.80072e-33
-1;0.1;2.80605e-33
-1;0.11;2.81156e-33
-1;0.12;2.81035e-33
-1;0.13;2.80499e-33
-1;0.14;2.80011e-33
-1;0.15;2.80896e-33
-1;0.16;2.8077e-33
-1;0.17;2.80339e-33
-1;0.18;2.79929e-33
-1;0.19;2.79836e-33
-1;0.2;2.80347e-33
-1;0.21;2.80612e-33
-1;0.22;2.80722e-33
-1;0.23;2.80889e-33
-1;0.24;2.81536e-33
-1;0.25;2.81132e-33
-1;0.26;2.805e-33
-1;0.27;2.79845e-33
-1;0.28;-1.54593e-19
-1;0.29;2.80385e-33
-1;0.3;2.80427e-33
-1;0.31;2.80097e-33
-1;0.32;2.80401e-33
-1;0.33;2.80712e-33
-1;0.34;2.80959e-33
-1;0.35;2.80959e-33
-1;0.36;2.80417e-33
-1;0.37;2.80295e-33
-1;0.38;2.80652e-33
-1;0.39;2.80687e-33
-1;0.4;2.8077e-33
-1;0.41;2.80686e-33
-1;0.42;2.80686e-33
-1;0.43;2.80686e-33
-1;0.44;2.80632e-33
-1;0.45;2.80828e-33
-1;0.46;2.8061e-33
-1;0.47;2.80546e-33
-1;0.48;2.80698e-33
-1;0.49;2.80546e-33
-1;0.5;2.80546e-33
-1;0.51;2.80788e-33
-1;0.52;2.81398e-33
-1;0.53;2.81398e-33
-1;0.54;2.80707e-33
-1;0.55;2.80707e-33
-1;0.56;2.80437e-33
-1;0.57;2.81152e-33
-1;0.58;2.81152e-33
-1;0.59;2.80038e-33
-1;0.6;2.80038e-33
-1;0.61;2.81033e-33
-1;0.62;2.81111e-33
-1;0.63;2.80481e-33
-1;0.64;2.80328e-33
-1;0.65;2.80459e-33
-1;0.66;2.80424e-33
-1;0.67;2.80276e-33
-1;0.68;2.80518e-33
-1;0.69;2.80663e-33
-1;0.7;2.80824e-33
-1;0.71;2.80915e-33
-1;0.72;2.80824e-33
-1;0.73;2.80768e-33
-1;0.74;2.8069e-33
-1;0.75;2.80661e-33
-1;0.76;2.80672e-33
-1;0.77;2.80659e-33
-1;0.78;2.81126e-33
-1;0.79;2.80676e-33
-1;0.8;2.80829e-33
-1;0.81;2.80653e-33
-1;0.82;2.80421e-33
-1;0.83;2.80685e-33
-1;0.84;2.7968e-33
-1;0.85;2.79306e-33
-1;0.86;2.80052e-33
-1;0.87;2.80718e-33
-1;0.88;2.81019e-33
-1;0.89;2.81463e-33
-1;0.9;2.81285e-33
-1;0.91;-7.75973e-20
-1;0.92;2.80747e-33
-1;0.93;2.80676e-33
-1;0.94;2.80634e-33
-1;0.95;2.80665e-33
-1;0.96;2.80704e-33
-1;0.97;2.80762e-33
-1;0.98;2.80923e-33
-1;0.99;2.80986e-33
-0.99;-1;2.79284e-33
-0.99;-0.99;2.80079e-33
-0.99;-0.98;2.80874e-33
-0.99;-0.97;2.80941e-33
-0.99;-0.96;2.81102e-33
-0.99;-0.95;2.81145e-33
-0.99;-0.94;2.80268e-33
-0.99;-0.93;2.79635e-33
-0.99;-0.92;2.7991e-33
-0.99;-0.91;-1.5459e-19
-0.99;-0.9;2.80442e-33
-0.99;-0.89;2.80778e-33
-0.99;-0.88;2.80822e-33
-0.99;-0.87;2.81191e-33
-0.99;-0.86;2.81398e-33
-0.99;-0.85;2.80964e-33
-0.99;-0.84;2.80618e-33
-0.99;-0.83;2.80394e-33
-0.99;-0.82;2.80143e-33
-0.99;-0.81;2.80378e-33
-0.99;-0.8;2.80378e-33
-0.99;-0.79;2.80454e-33
-0.99;-0.78;2.80579e-33
-0.99;-0.77;2.80734e-33
-0.99;-0.76;2.80359e-33
-0.99;-0.75;2.80359e-33
-0.99;-0.74;2.80359e-33
-0.99;-0.73;2.80718e-33
-0.99;-0.72;2.81203e-33
-0.99;-0.71;2.80814e-33
-0.99;-0.7;2.80407e-33
-0.99;-0.69;2.80472e-33
-0.99;-0.68;2.80525e-33
-0.99;-0.67;2.80649e-33
-0.99;-0.66;2.81243e-33
-0.99;-0.65;2.81243e-33
-0.99;-0.64;2.80957e-33
-0.99;-0.63;2.81231e-33
-0.99;-0.62;2.80928e-33
-0.99;-0.61;2.80576e-33
-0.99;-0.6;2.80426e-33
-0.99;-0.59;2.81258e-33
-0.99;-0.58;2.81258e-33
-0.99;-0.57;2.80681e-33
-0.99;-0.56;2.80681e-33
-0.99;-0.55;2.80874e-33
-0.99;-0.54;2.80732e-33
-0.99;-0.53;2.80732e-33
-0.99;-0.52;2.80391e-33
-0.99;-0.51;2.807e-33
-0.99;-0.5;2.80485e-33
-0.99;-0.49;2.8057e-33
-0.99;-0.48;2.8057e-33
-0.99;-0.47;2.8043e-33
-0.99;-0.46;2.80766e-33
-0.99;-0.45;2.80386e-33
-0.99;-0.44;2.8087e-33
-0.99;-0.43;2.8087e-33
-0.99;-0.42;2.80892e-33
-0.99;-0.41;2.81293e-33
-0.99;-0.4;2.81003e-33
-0.99;-0.39;2.80579e-33
-0.99;-0.38;2.81246e-33
-0.99;-0.37;2.81227e-33
-0.99;-0.36;2.80936e-33
-0.99;-0.35;2.80397e-33
-0.99;-0.34;2.79185e-33
-0.99;-0.33;2.79585e-33
-0.99;-0.32;2.80301e-33
-0.99;-0.31;2.80984e-33
-0.99;-0.3;2.80968e-33
-0.99;-0.29;2.80979e-33
-0.99;-0.28;2.81145e-33
-0.99;-0.27;2.80241e-33
-0.99;-0.26;2.8023e-33
-0.99;-0.25;2.8028e-33
-0.99;-0.24;2.80097e-33
-0.99;-0.23;2.80643e-33
-0.99;-0.22;2.81146e-33
-0.99;-0.21;2.81225e-33
-0.99;-0.2;2.80949e-33
