x;y;u
-0.9;-1.11111;6.29753e-33
-0.9;-1.1;3.26848e-33
-0.9;-1.08889;6.58498e-33
-0.9;-1.07778;3.29797e-33
-0.9;-1.06667;3.32764e-33
-0.9;-1.05556;3.32764e-33
-0.9;-1.04444;6.68078e-33
-0.9;-1.03333;3.3576e-33
-0.9;-1.02222;6.72383e-33
-0.9;-1.01111;3.3878e-33
-0.9;-1;6.81284e-33
-0.9;-0.988889;3.41817e-33
-0.9;-0.977778;6.90959e-33
-0.9;-0.966667;3.4488e-33
-0.9;-0.955556;6.92077e-33
-0.9;-0.944444;3.47951e-33
-0.9;-0.933333;6.70067e-33
-0.9;-0.922222;4.47512e-33
-0.9;-0.911111;3.60404e-33
-0.9;-0.9;5.91791e-33
-0.9;-0.888889;4.74633e-33
-0.9;-0.877778;6.95053e-33
-0.9;-0.866667;3.60404e-33
-0.9;-0.855556;7.25701e-33
-0.9;-0.844444;4.03427e-33
-0.9;-0.833333;6.48548e-33
-0.9;-0.822222;6.41581e-33
-0.9;-0.811111;4.25075e-33
-0.9;-0.8;3.78961e-33
-0.9;-0.788889;3.78961e-33
-0.9;-0.777778;6.7354e-33
-0.9;-0.766667;3.85701e-33
-0.9;-0.755556;3.85701e-33
-0.9;-0.744444;7.61173e-33
-0.9;-0.733333;5.51712e-33
-0.9;-0.722222;5.72797e-33
-0.9;-0.711111;7.72991e-33
-0.9;-0.7;4.31854e-33
-0.9;-0.688889;6.71194e-33
-0.9;-0.677778;7.63973e-33
-0.9;-0.666667;3.94912e-33
-0.9;-0.655556;4.04108e-33
-0.9;-0.644444;4.04108e-33
-0.9;-0.633333;4.01074e-33
-0.9;-0.622222;7.23774e-33
-0.9;-0.611111;7.87716e-33
-0.9;-0.6;4.37023e-33
-0.9;-0.588889;6.97371e-33
-0.9;-0.577778;8.19772e-33
-0.9;-0.566667;5.6041e-33
-0.9;-0.555556;6.19363e-33
-0.9;-0.544444;4.21744e-33
-0.9;-0.533333;4.24664e-33
-0.9;-0.522222;4.24664e-33
-0.9;-0.511111;8.04374e-33
-0.9;-0.5;8.22066e-33
-0.9;-0.488889;5.25286e-33
-0.9;-0.477778;6.73718e-33
-0.9;-0.466667;4.3535e-33
-0.9;-0.455556;4.3535e-33
-0.9;-0.444444;4.37925e-33
-0.9;-0.433333;4.40448e-33
-0.9;-0.422222;4.40448e-33
-0.9;-0.411111;4.42906e-33
-0.9;-0.4;4.42906e-33
-0.9;-0.388889;4.45459e-33
-0.9;-0.377778;8.93205e-33
-0.9;-0.366667;7.29644e-33
-0.9;-0.355556;4.49904e-33
-0.9;-0.344444;8.16893e-33
-0.9;-0.333333;9.09497e-33
-0.9;-0.322222;7.79846e-33
-0.9;-0.311111;4.55959e-33
-0.9;-0.3;7.80125e-33
-0.9;-0.288889;-5.05299e-19
-0.9;-0.277778;8.53879e-33
-0.9;-0.266667;5.85714e-33
-0.9;-0.255556;3.8048e-19
-0.9;-0.244444;9.01253e-33
-0.9;-0.233333;9.20268e-33
-0.9;-0.222222;7.49787e-33
-0.9;-0.211111;5.16234e-33
-0.9;-0.2;8.21453e-33
-0.9;-0.188889;9.4337e-33
-0.9;-0.177778;8.85569e-33
-0.9;-0.166667;6.50366e-33
-0.9;-0.155556;6.50716e-33
-0.9;-0.144444;8.88021e-33
-0.9;-0.133333;9.53611e-33
-0.9;-0.122222;8.48519e-33
-0.9;-0.111111;5.7422e-33
-0.9;-0.1;3.96982e-19
-0.9;-0.0888889;9.21567e-33
-0.9;-0.0777778;9.52302e-33
-0.9;-0.0666667;8.18353e-33
-0.9;-0.0555556;5.20803e-33
-0.9;-0.0444444;7.67249e-33
-0.9;-0.0333333;9.38555e-33
-0.9;-0.0222222;9.47474e-33
-0.9;-0.0111111;7.94322e-33
-0.9;0;-6.24617e-17
-0.9;0.0111111;7.94321e-33
-0.9;0.0222222;9.47451e-33
-0.9;0.0333333;9.38571e-33
-0.9;0.0444444;7.67184e-33
-0.9;0.0555556;5.21199e-33
-0.9;0.0666667;8.18942e-33
-0.9;0.0777778;9.525e-33
-0.9;0.0888889;9.21559e-33
-0.9;0.1;7.24909e-33
-0.9;0.111111;3.97763e-19
-0.9;0.122222;8.47874e-33
-0.9;0.133333;-7.95353e-19
-0.9;0.144444;8.88116e-33
-0.9;0.155556;6.50535e-33
-0.9;0.166667;6.50585e-33
-0.9;0.177778;8.85893e-33
-0.9;0.188889;9.4337e-33
-0.9;0.2;8.21446e-33
-0.9;0.211111;5.16237e-33
-0.9;0.222222;3.86561e-19
-0.9;0.233333;9.20265e-33
-0.9;0.244444;9.01206e-33
-0.9;0.255556;6.89099e-33
-0.9;0.266667;5.7525e-19
-0.9;0.277778;8.53772e-33
-0.9;0.288889;9.20467e-33
-0.9;0.3;7.80681e-33
-0.9;0.311111;4.56286e-33
-0.9;0.322222;7.79789e-33
-0.9;0.333333;9.09496e-33
