x;y;u
-2;-1;5.28964e-38
-2;-0.99;7.37228e-36
-2;-0.98;7.97441e-36
-2;-0.97;2.00364e-35
-2;-0.96;1.44307e-35
-2;-0.95;3.12315e-35
-2;-0.94;2.03013e-35
-2;-0.93;4.18398e-35
-2;-0.92;2.59988e-35
-2;-0.91;5.23648e-35
-2;-0.9;3.17595e-35
-2;-0.89;6.31403e-35
-2;-0.88;3.77429e-35
-2;-0.87;7.44121e-35
-2;-0.86;4.40682e-35
-2;-0.85;8.63749e-35
-2;-0.84;5.08319e-35
-2;-0.83;9.91908e-35
-2;-0.82;5.81156e-35
-2;-0.81;1.12999e-34
-2;-0.8;6.59904e-35
-2;-0.79;1.27922e-34
-2;-0.78;7.45192e-35
-2;-0.77;1.44069e-34
-2;-0.76;8.37584e-35
-2;-0.75;1.61537e-34
-2;-0.74;9.37582e-35
-2;-0.73;1.8041e-34
-2;-0.72;1.04563e-34
-2;-0.71;2.00765e-34
-2;-0.7;1.16211e-34
-2;-0.69;2.22664e-34
-2;-0.68;1.28734e-34
-2;-0.67;2.46159e-34
-2;-0.66;1.42157e-34
-2;-0.65;2.71288e-34
-2;-0.64;1.56498e-34
-2;-0.63;2.98076e-34
-2;-0.62;1.71767e-34
-2;-0.61;3.2653e-34
-2;-0.6;1.87965e-34
-2;-0.59;3.56645e-34
-2;-0.58;2.05082e-34
-2;-0.57;3.88395e-34
-2;-0.56;2.23102e-34
-2;-0.55;4.21736e-34
-2;-0.54;2.41994e-34
-2;-0.53;4.56607e-34
-2;-0.52;2.61718e-34
-2;-0.51;4.92924e-34
-2;-0.5;2.82223e-34
-2;-0.49;5.30582e-34
-2;-0.48;3.03446e-34
-2;-0.47;5.69457e-34
-2;-0.46;3.2531e-34
-2;-0.45;6.09403e-34
-2;-0.44;3.4773e-34
-2;-0.43;6.50251e-34
-2;-0.42;3.70606e-34
-2;-0.41;6.91815e-34
-2;-0.4;3.9383e-34
-2;-0.39;7.33888e-34
-2;-0.38;4.1728e-34
-2;-0.37;7.76245e-34
-2;-0.36;4.40827e-34
-2;-0.35;8.18644e-34
-2;-0.34;4.64333e-34
-2;-0.33;8.6083e-34
-2;-0.32;4.87651e-34
-2;-0.31;9.02535e-34
-2;-0.3;5.10629e-34
-2;-0.29;9.43483e-34
-2;-0.28;5.33112e-34
-2;-0.27;9.8339e-34
-2;-0.26;5.5494e-34
-2;-0.25;1.02197e-33
-2;-0.24;5.75953e-34
-2;-0.23;1.05893e-33
-2;-0.22;5.95992e-34
-2;-0.21;1.094e-33
-2;-0.2;6.14901e-34
-2;-0.19;1.1269e-33
-2;-0.18;6.32529e-34
-2;-0.17;1.15736e-33
-2;-0.16;6.48731e-34
-2;-0.15;1.18513e-33
-2;-0.14;6.63374e-34
-2;-0.13;1.20998e-33
-2;-0.12;6.76332e-34
-2;-0.11;1.2317e-33
-2;-0.1;6.87493e-34
-2;-0.09;1.2501e-33
-2;-0.08;6.96762e-34
-2;-0.07;1.26502e-33
-2;-0.06;7.04056e-34
-2;-0.05;1.27633e-33
-2;-0.04;7.0931e-34
-2;-0.03;1.28393e-33
-2;-0.02;7.12477e-34
-2;-0.01;1.28775e-33
-2;0;7.13529e-34
-2;0.01;1.28775e-33
-2;0.02;7.12457e-34
-2;0.03;1.28394e-33
-2;0.04;7.0927e-34
-2;0.05;1.27636e-33
-2;0.06;7.03997e-34
-2;0.07;1.26506e-33
-2;0.08;6.96684e-34
-2;0.09;1.25015e-33
-2;0.1;6.87397e-34
-2;0.11;1.23176e-33
-2;0.12;6.76218e-34
-2;0.13;1.21005e-33
-2;0.14;6.63244e-34
-2;0.15;1.18521e-33
-2;0.16;6.48587e-34
-2;0.17;1.15745e-33
-2;0.18;6.3237e-34
-2;0.19;1.127e-33
-2;0.2;6.1473e-34
-2;0.21;1.09411e-33
-2;0.22;5.9581e-34
-2;0.23;1.05905e-33
-2;0.24;5.75762e-34
-2;0.25;1.02209e-33
-2;0.26;5.5474e-34
-2;0.27;9.83513e-34
-2;0.28;5.32906e-34
-2;0.29;9.4361e-34
-2;0.3;5.10418e-34
-2;0.31;9.02666e-34
-2;0.32;4.87435e-34
-2;0.33;8.60963e-34
-2;0.34;4.64115e-34
-2;0.35;8.18779e-34
-2;0.36;4.40608e-34
-2;0.37;7.76381e-34
-2;0.38;4.17062e-34
-2;0.39;7.34024e-34
-2;0.4;3.93613e-34
-2;0.41;6.91951e-34
-2;0.42;3.70393e-34
-2;0.43;6.50385e-34
-2;0.44;3.47521e-34
-2;0.45;6.09535e-34
-2;0.46;3.25106e-34
-2;0.47;5.69587e-34
-2;0.48;3.03247e-34
-2;0.49;5.30708e-34
-2;0.5;2.82031e-34
-2;0.51;4.93046e-34
-2;0.52;2.61533e-34
-2;0.53;4.56725e-34
-2;0.54;2.41816e-34
-2;0.55;4.2185e-34
-2;0.56;2.22932e-34
-2;0.57;3.88504e-34
-2;0.58;2.04921e-34
-2;0.59;3.56749e-34
-2;0.6;1.87812e-34
-2;0.61;3.26629e-34
-2;0.62;1.71623e-34
-2;0.63;2.98169e-34
-2;0.64;1.56363e-34
-2;0.65;2.71377e-34
-2;0.66;1.4203e-34
-2;0.67;2.46243e-34
-2;0.68;1.28615e-34
-2;0.69;2.22743e-34
-2;0.7;1.161e-34
-2;0.71;2.00838e-34
-2;0.72;1.0446e-34
-2;0.73;1.80479e-34
-2;0.74;9.36633e-35
-2;0.75;1.616e-34
-2;0.76;8.36708e-35
-2;0.77;1.44128e-34
-2;0.78;7.44384e-35
-2;0.79;1.27977e-34
-2;0.8;6.59159e-35
-2;0.81;1.13051e-34
-2;0.82;5.8047e-35
-2;0.83;9.92391e-35
-2;0.84;5.07685e-35
-2;0.85;8.64205e-35
-2;0.86;4.40092e-35
-2;0.87;7.44556e-35
-2;0.88;3.76877e-35
-2;0.89;6.31823e-35
-2;0.9;3.17071e-35
-2;0.91;5.24062e-35
-2;0.92;2.59479e-35
-2;0.93;4.18815e-35
-2;0.94;2.02504e-35
-2;0.95;3.12749e-35
-2;0.96;1.43767e-35
-2;0.97;2.00831e-35
-2;0.98;7.91094e-36
-2;0.99;7.42232e-36
-1.98;-1;2.97394e-35
-1.98;-0.99;1.11807e-05
-1.98;-0.98;2.11564e-05
-1.98;-0.97;3.033e-05
-1.98;-0.96;3.8969e-05
-1.98;-0.95;4.72592e-05
-1.98;-0.94;5.5335e-05
-1.98;-0.93;6.33021e-05
-1.98;-0.92;7.12404e-05
-1.98;-0.91;7.922e-05
-1.98;-0.9;8.72949e-05
-1.98;-0.89;9.55174e-05
-1.98;-0.88;0.000103927
-1.98;-0.87;0.000112566
-1.98;-0.86;0.000121465
-1.98;-0.85;0.00013066
-1.98;-0.84;0.000140176
-1.98;-0.83;0.000150044
-1.98;-0.82;0.000160286
-1.98;-0.81;0.00017093
-1.98;-0.8;0.000181993
-1.98;-0.79;0.000193503
-1.98;-0.78;0.000205472
-1.98;-0.77;0.000217926
-1.98;-0.76;0.000230877
-1.98;-0.75;0.000244347
-1.98;-0.74;0.000258346
-1.98;-0.73;0.000272895
-1.98;-0.72;0.000288001
-1.98;-0.71;0.000303684
-1.98;-0.7;0.000319946
-1.98;-0.69;0.000336808
-1.98;-0.68;0.000354269
-1.98;-0.67;0.000372346
-1.98;-0.66;0.000391036
-1.98;-0.65;0.000410355
-1.98;-0.64;0.000430296
-1.98;-0.63;0.000450872
-1.98;-0.62;0.000472074
-1.98;-0.61;0.000493911
-1.98;-0.6;0.000516371
-1.98;-0.59;0.000539461
-1.98;-0.58;0.000563164
-1.98;-0.57;0.000587484
-1.98;-0.56;0.0006124
-1.98;-0.55;0.000637915
-1.98;-0.54;0.000664001
-1.98;-0.53;0.000690658
-1.98;-0.52;0.000717855
-1.98;-0.51;0.000745588
-1.98;-0.5;0.00077382
-1.98;-0.49;0.000802546
-1.98;-0.48;0.000831724
-1.98;-0.47;0.000861345
-1.98;-0.46;0.000891362
-1.98;-0.45;0.000921762
-1.98;-0.44;0.000952495
-1.98;-0.43;0.000983545
-1.98;-0.42;0.00101486
-1.98;-0.41;0.00104641
-1.98;-0.4;0.00107815
-1.98;-0.39;0.00111004
-1.98;-0.38;0.00114204
-1.98;-0.37;0.00117411
-1.98;-0.36;0.00120618
-1.98;-0.35;0.00123823
-1.98;-0.34;0.00127019
-1.98;-0.33;0.00130204
-1.98;-0.32;0.00133368
-1.98;-0.31;0.00136511
-1.98;-0.3;0.00139624
-1.98;-0.29;0.00142704
-1.98;-0.28;0.00145744
-1.98;-0.27;0.00148739
-1.98;-0.26;0.00151684
-1.98;-0.25;0.00154574
-1.98;-0.24;0.00157402
-1.98;-0.23;0.00160164
-1.98;-0.22;0.00162854
-1.98;-0.21;0.00165468
-1.98;-0.2;0.00167998
-1.98;-0.19;0.00170443
-1.98;-0.18;0.00172794
-1.98;-0.17;0.00175049
-1.98;-0.16;0.00177201
-1.98;-0.15;0.00179248
-1.98;-0.14;0.00181184
-1.98;-0.13;0.00183006
-1.98;-0.12;0.00184709
-1.98;-0.11;0.00186291
-1.98;-0.1;0.00187746
-1.98;-0.09;0.00189073
-1.98;-0.08;0.00190267
-1.98;-0.07;0.00191329
-1.98;-0.06;0.00192252
-1.98;-0.05;0.00193038
-1.98;-0.04;0.00193683
-1.98;-0.03;0.00194187
-1.98;-0.02;0.00194547
-1.98;-0.01;0.00194764
-1.98;0;0.00194835
-1.98;0.01;0.00194764
-1.98;0.02;0.00194547
-1.98;0.03;0.00194187
-1.98;0.04;0.00193683
-1.98;0.05;0.00193039
-1.98;0.06;0.00192253
-1.98;0.07;0.00191329
-1.98;0.08;0.00190268
-1.98;0.09;0.00189073
-1.98;0.1;0.00187746
-1.98;0.11;0.00186291
-1.98;0.12;0.0018471
-1.98;0.13;0.00183007
-1.98;0.14;0.00181185
-1.98;0.15;0.00179249
-1.98;0.16;0.00177202
-1.98;0.17;0.0017505
-1.98;0.18;0.00172795
-1.98;0.19;0.00170444
-1.98;0.2;0.00168
-1.98;0.21;0.00165469
-1.98;0.22;0.00162856
-1.98;0.23;0.00160166
-1.98;0.24;0.00157403
-1.98;0.25;0.00154575
-1.98;0.26;0.00151686
-1.98;0.27;0.00148741
-1.98;0.28;0.00145745
-1.98;0.29;0.00142705
-1.98;0.3;0.00139626
-1.98;0.31;0.00136513
-1.98;0.32;0.00133371
-1.98;0.33;0.00130205
-1.98;0.34;0.00127022
-1.98;0.35;0.00123825
-1.98;0.36;0.0012062
-1.98;0.37;0.00117412
-1.98;0.38;0.00114206
-1.98;0.39;0.00111006
-1.98;0.4;0.00107817
-1.98;0.41;0.00104643
-1.98;0.42;0.00101488
-1.98;0.43;0.000983566
-1.98;0.44;0.000952522
-1.98;0.45;0.000921784
-1.98;0.46;0.000891389
-1.98;0.47;0.000861367
-1.98;0.48;0.000831751
-1.98;0.49;0.000802569
-1.98;0.5;0.000773847
-1.98;0.51;0.00074561
-1.98;0.52;0.000717881
-1.98;0.53;0.00069068
-1.98;0.54;0.000664027
-1.98;0.55;0.000637937
-1.98;0.56;0.000612426
-1.98;0.57;0.000587506
-1.98;0.58;0.000563189
-1.98;0.59;0.000539483
-1.98;0.6;0.000516396
-1.98;0.61;0.000493932
-1.98;0.62;0.000472098
-1.98;0.63;0.000450893
-1.98;0.64;0.000430319
-1.98;0.65;0.000410375
-1.98;0.66;0.000391059
-1.98;0.67;0.000372365
-1.98;0.68;0.000354291
-1.98;0.69;0.000336827
-1.98;0.7;0.000319967
-1.98;0.71;0.000303702
-1.98;0.72;0.000288021
-1.98;0.73;0.000272913
-1.98;0.74;0.000258365
-1.98;0.75;0.000244364
-1.98;0.76;0.000230896
-1.98;0.77;0.000217943
-1.98;0.78;0.00020549
-1.98;0.79;0.000193519
-1.98;0.8;0.000182011
-1.98;0.81;0.000170946
-1.98;0.82;0.000160303
-1.98;0.83;0.00015006
-1.98;0.84;0.000140193
-1.98;0.85;0.000130675
-1.98;0.86;0.000121482
-1.98;0.87;0.000112581
-1.98;0.88;0.000103944
-1.98;0.89;9.55334e-05
-1.98;0.9;8.73126e-05
-1.98;0.91;7.92368e-05
-1.98;0.92;7.1259e-05
-1.98;0.93;6.332e-05
-1.98;0.94;5.53549e-05
-1.98;0.95;4.72783e-05
-1.98;0.96;3.899e-05
-1.98;0.97;3.03493e-05
-1.98;0.98;2.11757e-05
-1.98;0.99;1.11932e-05
-1.96;-1;2.71471e-35
-1.96;-0.99;1.95388e-05
-1.96;-0.98;3.76264e-05
-1.96;-0.97;5.4534e-05
-1.96;-0.96;7.06677e-05
-1.96;-0.95;8.62072e-05
-1.96;-0.94;0.000101406
-1.96;-0.93;0.000116393
-1.96;-0.92;0.000131333
-1.96;-0.91;0.000146327
-1.96;-0.9;0.000161487
-1.96;-0.89;0.000176897
-1.96;-0.88;0.000192636
-1.96;-0.87;0.00020878
-1.96;-0.86;0.000225386
-1.96;-0.85;0.000242524
-1.96;-0.84;0.000260236
-1.96;-0.83;0.000278587
-1.96;-0.82;0.000297609
-1.96;-0.81;0.000317363
-1.96;-0.8;0.000337873
-1.96;-0.79;0.000359197
-1.96;-0.78;0.000381352
-1.96;-0.77;0.000404394
-1.96;-0.76;0.000428334
-1.96;-0.75;0.000453226
-1.96;-0.74;0.000479073
-1.96;-0.73;0.000505931
-1.96;-0.72;0.000533794
-1.96;-0.71;0.000562716
-1.96;-0.7;0.000592686
-1.96;-0.69;0.000623756
-1.96;-0.68;0.000655908
-1.96;-0.67;0.000689193
-1.96;-0.66;0.000723583
-1.96;-0.65;0.000759129
-1.96;-0.64;0.000795795
-1.96;-0.63;0.00083363
-1.96;-0.62;0.000872588
-1.96;-0.61;0.000912718
-1.96;-0.6;0.000953964
-1.96;-0.59;0.000996371
-1.96;-0.58;0.00103987
-1.96;-0.57;0.00108452
-1.96;-0.56;0.00113022
-1.96;-0.55;0.00117703
-1.96;-0.54;0.00122486
-1.96;-0.53;0.00127374
-1.96;-0.52;0.00132358
-1.96;-0.51;0.00137442
-1.96;-0.5;0.00142613
-1.96;-0.49;0.00147876
-1.96;-0.48;0.00153218
-1.96;-0.47;0.00158643
-1.96;-0.46;0.00164136
-1.96;-0.45;0.00169701
-1.96;-0.44;0.00175324
-1.96;-0.43;0.00181006
-1.96;-0.42;0.00186732
-1.96;-0.41;0.00192504
-1.96;-0.4;0.00198305
-1.96;-0.39;0.00204138
-1.96;-0.38;0.00209985
-1.96;-0.37;0.00215847
-1.96;-0.36;0.00221706
-1.96;-0.35;0.00227564
-1.96;-0.34;0.00233401
-1.96;-0.33;0.00239219
-1.96;-0.32;0.00244997
-1.96;-0.31;0.00250737
-1.96;-0.3;0.00256419
-1.96;-0.29;0.00262043
-1.96;-0.28;0.00267589
-1.96;-0.27;0.00273059
-1.96;-0.26;0.0027843
-1.96;-0.25;0.00283706
-1.96;-0.24;0.00288863
-1.96;-0.23;0.00293905
-1.96;-0.22;0.00298809
-1.96;-0.21;0.00303579
-1.96;-0.2;0.00308191
-1.96;-0.19;0.00312652
-1.96;-0.18;0.00316936
-1.96;-0.17;0.00321051
-1.96;-0.16;0.00324972
-1.96;-0.15;0.00328707
-1.96;-0.14;0.00332232
-1.96;-0.13;0.00335558
-1.96;-0.12;0.00338657
-1.96;-0.11;0.00341544
-1.96;-0.1;0.00344191
-1.96;-0.09;0.00346614
-1.96;-0.08;0.00348787
-1.96;-0.07;0.00350725
-1.96;-0.06;0.00352403
-1.96;-0.05;0.0035384
-1.96;-0.04;0.0035501
-1.96;-0.03;0.00355932
-1.96;-0.02;0.00356582
-1.96;-0.01;0.00356982
-1.96;0;0.00357108
-1.96;0.01;0.00356982
-1.96;0.02;0.0035658
-1.96;0.03;0.0035593
-1.96;0.04;0.00355006
-1.96;0.05;0.00353836
-1.96;0.06;0.00352398
-1.96;0.07;0.0035072
-1.96;0.08;0.00348779
-1.96;0.09;0.00346608
-1.96;0.1;0.00344182
-1.96;0.11;0.00341536
-1.96;0.12;0.00338647
-1.96;0.13;0.00335549
-1.96;0.14;0.00332221
-1.96;0.15;0.00328698
-1.96;0.16;0.00324958
-1.96;0.17;0.0032104
-1.96;0.18;0.00316921
-1.96;0.19;0.0031264
-1.96;0.2;0.00308176
-1.96;0.21;0.00303567
-1.96;0.22;0.00298793
-1.96;0.23;0.00293892
-1.96;0.24;0.00288846
-1.96;0.25;0.00283693
-1.96;0.26;0.00278413
-1.96;0.27;0.00273045
-1.96;0.28;0.00267571
-1.96;0.29;0.00262029
-1.96;0.3;0.002564
-1.96;0.31;0.00250723
-1.96;0.32;0.00244978
-1.96;0.33;0.00239204
-1.96;0.34;0.00233382
-1.96;0.35;0.0022755
-1.96;0.36;0.00221688
-1.96;0.37;0.00215833
-1.96;0.38;0.00209966
-1.96;0.39;0.00204124
-1.96;0.4;0.00198287
-1.96;0.41;0.0019249
-1.96;0.42;0.00186714
-1.96;0.43;0.00180992
-1.96;0.44;0.00175306
-1.96;0.45;0.00169689
-1.96;0.46;0.0016412
-1.96;0.47;0.0015863
-1.96;0.48;0.00153202
-1.96;0.49;0.00147864
-1.96;0.5;0.00142598
-1.96;0.51;0.0013743
-1.96;0.52;0.00132344
-1.96;0.53;0.00127364
-1.96;0.54;0.00122472
-1.96;0.55;0.00117693
-1.96;0.56;0.00113009
-1.96;0.57;0.00108442
-1.96;0.58;0.00103975
-1.96;0.59;0.000996282
-1.96;0.6;0.000953846
-1.96;0.61;0.000912635
-1.96;0.62;0.000872478
-1.96;0.63;0.000833553
-1.96;0.64;0.000795692
-1.96;0.65;0.000759057
-1.96;0.66;0.000723487
-1.96;0.67;0.000689127
-1.96;0.68;0.00065582
-1.96;0.69;0.000623696
-1.96;0.7;0.000592605
-1.96;0.71;0.000562661
-1.96;0.72;0.000533719
-1.96;0.73;0.000505881
-1.96;0.74;0.000479005
-1.96;0.75;0.000453181
-1.96;0.76;0.000428272
-1.96;0.77;0.000404354
-1.96;0.78;0.000381296
-1.96;0.79;0.000359161
-1.96;0.8;0.000337822
-1.96;0.81;0.000317331
-1.96;0.82;0.000297564
-1.96;0.83;0.000278559
-1.96;0.84;0.000260196
-1.96;0.85;0.0002425
-1.96;0.86;0.00022535
-1.96;0.87;0.000208759
-1.96;0.88;0.000192604
-1.96;0.89;0.000176879
-1.96;0.9;0.000161458
-1.96;0.91;0.000146313
-1.96;0.92;0.000131308
-1.96;0.93;0.000116381
-1.96;0.94;0.000101382
-1.96;0.95;8.61969e-05
-1.96;0.96;7.06443e-05
